('Total Revenue', '408,625,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         876947 function calls (852433 primitive calls) in 2.970 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 _connection.py:1(<module>)
     3375    0.004    0.000    0.009    0.000 __init__.py:870(object_was_parsed)
     3411    0.002    0.000    0.009    0.000 parser.py:364(check_for_whole_start_tag)
        2    0.000    0.000    0.009    0.004 utils.py:1(<module>)
      563    0.001    0.000    0.009    0.000 _connection.py:438(next_event)
    44/32    0.000    0.000    0.009    0.000 css_parser.py:579(parse_pseudo_class)
    86618    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
    40/31    0.000    0.000    0.008    0.000 css_parser.py:746(parse_pseudo_open)
     3375    0.004    0.000    0.008    0.000 element.py:1478(__new__)
        1    0.001    0.001    0.008    0.008 base_events.py:1(<module>)
     3410    0.004    0.000    0.008    0.000 __init__.py:953(_popToTag)
67045/60635    0.007    0.000    0.008    0.000 {built-in method builtins.len}
    26274    0.005    0.000    0.008    0.000 _parser.py:168(__getitem__)
  269/266    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
 5073/386    0.005    0.000    0.007    0.000 _parser.py:178(getwidth)
      240    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
4421/4296    0.005    0.000    0.007    0.000 {built-in method __new__ of type object at 0xa44b40}
    13529    0.004    0.000    0.007    0.000 _markupbase.py:44(updatepos)
      256    0.000    0.000    0.007    0.000 _decoders.py:95(decode)
       94    0.000    0.000    0.007    0.000 dataclasses.py:449(_create_fn)
      256    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.001    0.001    0.007    0.007 _models.py:641(text)
8931/8930    0.002    0.000    0.007    0.000 {built-in method builtins.next}
63140/63118    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
      694    0.005    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
    10162    0.006    0.000    0.006    0.000 element.py:382(setup)
